"asn","tg_op"
34204,"NULL"
34661,"NULL"
34700,"NULL"
34743,"NULL"
35004,"NULL"
35320,"NULL"
35680,"NULL"
35804,"NULL"
35816,"NULL"
39047,"NULL"
39529,"NULL"
39608,"NULL"
39728,"NULL"
41435,"NULL"
41631,"NULL"
41665,"NULL"
41820,"NULL"
42335,"NULL"
42504,"NULL"
42590,"NULL"
42833,"NULL"
43011,"NULL"
43139,"NULL"
43266,"NULL"
43554,"NULL"
43802,"NULL"
45025,"NULL"
47694,"NULL"
48006,"NULL"
48323,"NULL"
48330,"NULL"
48957,"NULL"
49223,"NULL"
49984,"NULL"
50380,"NULL"
196705,"NULL"
196767,"NULL"
21310,"NULL"
21261,"NULL"
21011,"NULL"
20590,"NULL"
15742,"NULL"
15738,"NULL"
15713,"NULL"
15595,"NULL"
15377,"NULL"
13188,"NULL"
12507,"NULL"
12403,"NULL"
8813,"NULL"
8343,"NULL"
6876,"NULL"
6846,"NULL"
5415,"NULL"
3261,"NULL"
3255,"NULL"
43348,"NULL"
43659,"NULL"
44559,"NULL"
513,"NULL"
559,"NULL"
702,"NULL"
1836,"NULL"
6772,"NULL"
8220,"NULL"
8803,"NULL"
8821,"NULL"
8928,"NULL"
9044,"NULL"
10100,"NULL"
12350,"NULL"
12511,"NULL"
12620,"NULL"
15517,"NULL"
15547,"NULL"
15600,"NULL"
15623,"NULL"
21040,"NULL"
21232,"NULL"
21449,"NULL"
33845,"NULL"
34781,"NULL"
41549,"NULL"
41715,"NULL"
42496,"NULL"
44885,"NULL"
25171,"NULL"
29278,"NULL"
31219,"NULL"
31581,"NULL"
35311,"NULL"
43529,"NULL"
44419,"NULL"
44651,"NULL"
47421,"NULL"
2012,"NULL"
21229,"HU06"
15467,"NULL"
12594,"NULL"
8990,"NULL"
8512,"NULL"
8462,"NULL"
6784,"NULL"
6711,"NULL"
3314,"NULL"
3219,"NULL"
2547,"NULL"
1955,"NULL"
24822,"NULL"
23563,"NULL"
23578,"NULL"
38121,"NULL"
38661,"NULL"
38666,"NULL"
18318,"NULL"
18313,"NULL"
18310,"NULL"
17877,"NULL"
